"rules","support","confidence","lift","count"
"1","{(Translation)}} => {(Machine)}",0.00123297545430403,0.902777777777778,153.524641577061,65
"2","{(Machine)} => {(Translation)}}",0.00123297545430403,0.209677419354839,153.524641577061,65
"3","{(Presence)} => {(the)}",0.00119503774801775,0.759036144578313,8.60905066047322,63
"4","{(Media)} => {(Social)}",0.0010243180697295,0.58695652173913,51.1457420050305,54
"5","{(Big)} => {(Data)}",0.00108122462915892,0.575757575757576,25.8762045002454,57
"6","{(problem)}} => {(the)}",0.00110019348230206,0.495726495726496,5.62257086955882,58
"7","{(Scale)} => {(Large)}",0.00108122462915892,0.575757575757576,87.7248204589245,57
"8","{(Large)} => {(Scale)}",0.00108122462915892,0.164739884393064,87.7248204589245,57
"9","{(Harvesting)} => {(Energy)}",0.00165029022345309,0.861386138613861,103.914312255024,87
"10","{(Energy)} => {(Harvesting)}",0.00165029022345309,0.19908466819222,103.914312255024,87
"11","{(Sensing)}} => {(Compressed)}",0.00130885086687659,0.503649635036496,140.483605607693,69
"12","{(Compressed)} => {(Sensing)}}",0.00130885086687659,0.365079365079365,140.483605607693,69
"13","{(Version)}} => {(Extended)}",0.00140369513259228,0.672727272727273,238.019035997559,74
"14","{(Extended)} => {(Version)}}",0.00140369513259228,0.496644295302013,238.019035997559,74
"15","{(International)} => {(Workshop)}",0.00147957054516484,0.722222222222222,239.459818308875,78
"16","{(Workshop)} => {(International)}",0.00147957054516484,0.490566037735849,239.459818308875,78
"17","{(International)} => {{(Proceedings)}",0.00165029022345309,0.805555555555556,241.291351010101,87
"18","{{(Proceedings)} => {(International)}",0.00165029022345309,0.494318181818182,241.291351010101,87
"19","{(Lower)} => {(Bounds)}",0.00113813118858834,0.491803278688525,75.3688524590164,60
"20","{(Bounds)} => {(Lower)}",0.00113813118858834,0.174418604651163,75.3688524590164,60
"21","{(Class)} => {(a)}",0.00100534921658637,0.449152542372881,10.7239237902235,53
"22","{(Study)}} => {(Case)}",0.00119503774801775,0.529411764705882,114.383317261331,63
"23","{(Case)} => {(Study)}}",0.00119503774801775,0.258196721311475,114.383317261331,63
"24","{(Natural)} => {(Language)}",0.00119503774801775,0.463235294117647,81.1323529411765,63
"25","{(Language)} => {(Natural)}",0.00119503774801775,0.209302325581395,81.1323529411765,63
"26","{(Reinforcement)} => {(Learning)}}",0.00134678857316287,0.47972972972973,61.0879031205118,71
"27","{(Learning)}} => {(Reinforcement)}",0.00134678857316287,0.171497584541063,61.0879031205118,71
"28","{(Reinforcement)} => {(Learning)}",0.00123297545430403,0.439189189189189,18.9780128489145,65
